=date,temperature,humidity,luminosity
,20.7,18.7,152
,20.7,18.7,152
,20.7,18.7,152
,20.7,18.6,153
,20.7,18.6,153
,20.7,18.6,153
,20.7,18.6,153
,20.7,18.7,154
,20.7,18.7,154
,20.7,18.8,152
,20.7,18.9,153
,20.7,18.9,154
,20.7,18.9,153
,20.7,18.9,153
,20.7,18.9,153
,20.7,18.8,153
,20.6,18.7,152
,20.6,18.6,153
,20.6,18.7,152
,20.6,18.7,152
,20.6,18.7,155
,20.6,18.7,153
,20.6,18.7,152
,20.6,18.7,151
,20.6,18.7,152
,20.6,18.7,153
,20.6,18.7,153
,20.6,18.7,153
,20.6,18.6,153
,20.6,18.6,153
,20.6,18.5,153
,20.6,18.5,153
,20.6,18.4,152
,20.6,18.4,152
,20.6,18.3,154
,20.6,18.3,154
,20.6,18.3,154
,20.6,18.2,154
,20.6,18.3,153
,20.7,18.4,153
,20.8,18.5,154
,20.8,18.6,154
,20.8,18.6,153
,20.8,18.6,154
,20.8,18.6,154
,20.8,18.7,154
,20.8,18.7,154
,20.8,18.7,154
,20.8,18.7,154
,20.8,18.7,154
,20.8,18.7,154
,20.8,18.7,154
,20.8,18.7,154
,20.8,18.8,154
,20.8,18.8,153
,20.8,18.8,154
,20.7,18.8,154
,20.7,18.8,154
,20.7,18.9,153
,20.7,18.9,154
,20.7,18.9,155
,20.7,18.9,154
,20.7,18.9,153
,20.7,18.9,153
,20.7,18.9,153
,20.7,18.9,153
,20.7,18.8,155
,20.7,18.7,155
,20.7,18.7,152
,20.7,18.7,154
,20.7,18.7,155
,20.7,18.6,154
,20.7,18.6,154
,20.6,18.5,154
,20.6,18.4,154
,20.6,18.3,154
,20.6,18.2,155
,20.6,18.2,154
,20.6,18.2,154
,20.7,18.3,154
,20.7,18.3,154
,20.8,18.3,154
,20.9,18.4,155
,21.0,18.5,153
,21.1,18.5,152
,21.2,18.6,152
,21.2,18.6,151
,21.2,18.6,154
,21.2,18.5,153
,21.2,18.5,154
,21.2,18.5,154
,21.2,18.5,154
,21.2,18.4,151
,21.2,18.4,150
,21.2,18.3,153
,21.2,18.3,152
,21.2,18.3,152
,21.2,18.3,154
,21.2,18.3,154
,21.2,18.4,154
,21.2,18.4,154
,21.2,18.4,154
,21.2,18.4,154
,21.2,18.4,154
,21.2,18.4,154
,21.2,18.4,155
,21.2,18.4,154
,21.2,18.4,152
,21.2,18.4,154
,21.2,18.3,153
,21.2,18.3,153
,21.2,18.3,154
,21.2,18.3,154
,21.2,18.2,154
,21.2,18.2,154
,21.2,18.2,154
,21.2,18.2,154
,21.2,18.2,154
,21.2,18.2,154
,21.2,18.2,151
,21.2,18.2,152
,21.2,18.1,151
,21.2,18.1,151
,21.2,18.1,149
,21.2,18.1,147
,21.2,18.1,147
,21.2,18.1,148
,21.2,18.1,149
,21.2,18.1,151
,21.2,18.1,153
,21.2,18.2,153
,21.2,18.2,153
,21.2,18.2,152
,21.2,18.2,154
